               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.012244,            0.011687,          0.00029886,             0.99683,                   1,             0.99391,             0.96323,           0.0080977,           0.0076612,          0.00020199,           0.0019156,           0.0019156,           0.0019156
                 121,            0.012384,            0.011933,          0.00031032,             0.99696,                   1,             0.99409,             0.96311,             0.00817,           0.0078786,          0.00019799,           0.0018594,           0.0018594,           0.0018594
                 122,            0.012684,             0.01273,          0.00026258,             0.99697,                   1,             0.99373,             0.96245,            0.008091,           0.0076053,          0.00019944,           0.0018048,           0.0018048,           0.0018048
                 123,            0.012604,            0.012121,          0.00030896,             0.99693,                   1,             0.99393,             0.96255,           0.0081623,           0.0076581,          0.00019261,           0.0017519,           0.0017519,           0.0017519
                 124,            0.012491,            0.012449,            0.000347,             0.99692,                   1,             0.99397,             0.96257,           0.0080848,           0.0075493,          0.00018664,           0.0017005,           0.0017005,           0.0017005
                 125,            0.012106,            0.011966,          0.00026319,             0.99692,                   1,             0.99379,             0.96312,           0.0080574,           0.0076081,          0.00018602,           0.0016509,           0.0016509,           0.0016509
                 126,            0.012171,            0.011994,          0.00030292,             0.99709,                   1,             0.99357,             0.96325,           0.0079778,            0.007426,          0.00018569,           0.0016029,           0.0016029,           0.0016029
                 127,            0.012383,            0.011955,           0.0003671,              0.9971,                   1,             0.99424,             0.96539,           0.0079998,            0.007393,          0.00018278,           0.0015566,           0.0015566,           0.0015566
                 128,            0.012367,            0.012288,          0.00031308,             0.99705,                   1,             0.99438,             0.96478,           0.0079241,           0.0075209,          0.00017925,           0.0015121,           0.0015121,           0.0015121
                 129,            0.012066,            0.011935,          0.00032695,             0.99698,             0.99999,             0.99395,             0.96461,           0.0079707,           0.0075693,          0.00017518,           0.0014693,           0.0014693,           0.0014693
                 130,            0.012139,            0.011948,          0.00029669,             0.99701,             0.99999,             0.99407,             0.96362,           0.0080276,           0.0075465,          0.00017457,           0.0014283,           0.0014283,           0.0014283
                 131,            0.012317,            0.012153,          0.00027939,             0.99704,                   1,              0.9939,             0.96671,           0.0079527,            0.007473,          0.00017221,            0.001389,            0.001389,            0.001389
                 132,            0.012232,            0.011969,          0.00033048,             0.99704,                   1,             0.99379,              0.9653,           0.0079741,           0.0073932,          0.00016872,           0.0013516,           0.0013516,           0.0013516
                 133,            0.011969,            0.011522,          0.00028557,             0.99683,                   1,             0.99362,             0.96674,           0.0079753,           0.0074958,          0.00016835,            0.001316,            0.001316,            0.001316
                 134,            0.012112,            0.012067,          0.00032861,             0.99691,                   1,             0.99392,             0.96677,           0.0079164,           0.0074011,          0.00016765,           0.0012822,           0.0012822,           0.0012822
                 135,            0.011662,             0.01142,          0.00026532,             0.99702,                   1,               0.994,             0.96748,           0.0079067,           0.0073664,          0.00016559,           0.0012503,           0.0012503,           0.0012503
                 136,            0.012159,             0.01141,          0.00032793,             0.99702,                   1,             0.99394,               0.966,           0.0078784,           0.0073806,          0.00016577,           0.0012202,           0.0012202,           0.0012202
                 137,            0.011766,            0.011089,          0.00024088,             0.99704,                   1,             0.99407,             0.96821,           0.0078785,           0.0073354,          0.00016216,           0.0011921,           0.0011921,           0.0011921
                 138,            0.011767,            0.011584,          0.00031486,             0.99697,                   1,              0.9938,             0.96678,           0.0078304,           0.0073533,          0.00016426,           0.0011658,           0.0011658,           0.0011658
                 139,            0.012348,            0.012441,          0.00028518,             0.99698,                   1,             0.99364,             0.96595,           0.0078301,           0.0073962,          0.00016077,           0.0011414,           0.0011414,           0.0011414
                 140,            0.012005,             0.01196,          0.00028259,             0.99705,                   1,             0.99336,             0.96606,           0.0078496,           0.0073876,          0.00015964,           0.0011189,           0.0011189,           0.0011189
                 141,            0.012015,            0.011296,          0.00028494,             0.99705,                   1,             0.99397,              0.9685,           0.0078137,           0.0073318,          0.00015674,           0.0010983,           0.0010983,           0.0010983
                 142,            0.012339,            0.011843,          0.00031937,             0.99708,                   1,             0.99389,             0.96755,           0.0078303,           0.0073563,          0.00016063,           0.0010797,           0.0010797,           0.0010797
                 143,            0.011856,            0.011246,          0.00030103,             0.99709,                   1,             0.99381,             0.96799,           0.0078456,           0.0073706,          0.00015911,            0.001063,            0.001063,            0.001063
                 144,            0.011953,            0.011568,          0.00026766,             0.99707,                   1,             0.99368,             0.96645,           0.0078655,           0.0073961,          0.00015987,           0.0010483,           0.0010483,           0.0010483
                 145,            0.012297,            0.012334,            0.000295,               0.997,                   1,             0.99374,             0.96797,           0.0078437,           0.0074151,          0.00015927,           0.0010355,           0.0010355,           0.0010355
                 146,            0.011709,              0.0112,          0.00028096,             0.99702,                   1,             0.99402,             0.96804,           0.0078469,           0.0073282,          0.00015802,           0.0010247,           0.0010247,           0.0010247
                 147,             0.01167,            0.011457,          0.00027166,             0.99695,                   1,             0.99385,             0.96733,           0.0078133,            0.007324,          0.00015864,           0.0010158,           0.0010158,           0.0010158
                 148,            0.011928,            0.011337,          0.00030154,             0.99702,                   1,             0.99376,             0.96588,           0.0079038,           0.0074948,          0.00015779,           0.0010089,           0.0010089,           0.0010089
                 149,            0.011874,            0.011487,          0.00027751,             0.99704,                   1,             0.99389,             0.96961,            0.007869,           0.0075091,          0.00015409,           0.0010039,           0.0010039,           0.0010039
