               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.024616,            0.012474,          0.00063626,             0.99718,             0.99499,             0.99492,             0.89919,            0.023337,           0.0089402,          0.00046721,            0.003796,            0.003796,            0.003796
                  96,            0.025533,             0.01263,          0.00071986,             0.99648,             0.99426,             0.99493,             0.89234,            0.023643,           0.0089636,          0.00056704,             0.00373,             0.00373,             0.00373
                  97,            0.025001,            0.012284,          0.00077809,             0.99533,             0.99599,             0.99496,             0.89319,            0.023234,           0.0087639,          0.00053863,            0.003664,            0.003664,            0.003664
                  98,            0.025313,            0.012593,          0.00077777,             0.99449,             0.99572,             0.99491,             0.89111,            0.023769,           0.0091142,          0.00064218,            0.003598,            0.003598,            0.003598
                  99,            0.025053,            0.012239,          0.00054975,             0.99687,             0.99499,             0.99496,             0.89675,            0.023384,            0.008752,          0.00037697,            0.003532,            0.003532,            0.003532
                 100,            0.024862,            0.012322,          0.00064671,             0.99785,             0.99445,             0.99496,             0.90288,            0.023087,            0.008562,          0.00041843,            0.003466,            0.003466,            0.003466
                 101,            0.024523,             0.01211,          0.00062384,             0.99791,             0.99696,             0.99499,             0.90264,            0.023011,           0.0086657,          0.00039975,              0.0034,              0.0034,              0.0034
                 102,            0.024504,            0.012273,           0.0006468,             0.99751,             0.99548,              0.9949,             0.90054,            0.023156,           0.0086481,          0.00052105,            0.003334,            0.003334,            0.003334
                 103,            0.024512,            0.012341,          0.00071657,             0.99884,             0.99649,             0.99499,             0.90417,            0.023065,           0.0086622,          0.00036512,            0.003268,            0.003268,            0.003268
                 104,            0.024152,             0.01186,          0.00060175,             0.99741,             0.99495,             0.99495,             0.90421,            0.022996,           0.0085905,          0.00035752,            0.003202,            0.003202,            0.003202
                 105,            0.024406,            0.011937,          0.00063647,             0.99649,              0.9976,             0.99495,              0.9075,            0.022767,           0.0085342,          0.00035994,            0.003136,            0.003136,            0.003136
                 106,            0.024654,            0.012506,           0.0004885,             0.99873,             0.99899,             0.99496,             0.90352,            0.023111,           0.0085697,           0.0003613,             0.00307,             0.00307,             0.00307
                 107,            0.024052,            0.012043,          0.00067213,             0.99703,               0.996,             0.99491,             0.90055,            0.023015,           0.0085641,          0.00042138,            0.003004,            0.003004,            0.003004
                 108,            0.024482,            0.011735,          0.00063749,             0.99799,             0.99598,             0.99495,               0.902,            0.022624,           0.0084811,          0.00037546,            0.002938,            0.002938,            0.002938
                 109,             0.02446,            0.012013,          0.00058248,             0.99727,             0.99749,             0.99497,             0.90431,            0.022593,           0.0084388,          0.00035534,            0.002872,            0.002872,            0.002872
                 110,            0.023892,            0.011791,          0.00059051,             0.99799,             0.99838,             0.99499,             0.90206,            0.022851,            0.008462,          0.00035256,            0.002806,            0.002806,            0.002806
                 111,            0.023469,            0.012008,          0.00060303,               0.996,             0.99835,             0.99496,             0.90141,            0.022998,           0.0083961,          0.00038645,             0.00274,             0.00274,             0.00274
                 112,            0.024271,             0.01179,          0.00059085,             0.99739,             0.99749,             0.99497,             0.90479,            0.022724,            0.008504,          0.00035261,            0.002674,            0.002674,            0.002674
                 113,            0.023266,            0.011491,          0.00061084,             0.99685,             0.99799,             0.99489,              0.9024,            0.022611,           0.0085854,          0.00033788,            0.002608,            0.002608,            0.002608
                 114,            0.023763,            0.011577,          0.00055027,             0.99641,             0.99799,             0.99499,              0.9065,            0.022574,           0.0083452,          0.00032928,            0.002542,            0.002542,            0.002542
                 115,            0.024741,            0.011942,          0.00058838,             0.99899,             0.99823,             0.99498,             0.90478,            0.022572,           0.0083571,          0.00035892,            0.002476,            0.002476,            0.002476
                 116,            0.024025,            0.011679,           0.0005611,             0.99745,             0.99818,             0.99498,             0.90457,            0.022731,           0.0084996,          0.00034503,             0.00241,             0.00241,             0.00241
                 117,            0.023421,            0.011759,          0.00061448,              0.9977,             0.99799,             0.99497,             0.90584,            0.022781,           0.0085332,           0.0003431,            0.002344,            0.002344,            0.002344
                 118,            0.023601,            0.011855,          0.00050441,             0.99777,             0.99799,               0.995,             0.90482,            0.022515,           0.0084315,          0.00031861,            0.002278,            0.002278,            0.002278
                 119,            0.023649,            0.011813,          0.00058025,             0.99899,             0.99546,             0.99499,             0.90719,            0.022459,           0.0083979,           0.0003365,            0.002212,            0.002212,            0.002212
                 120,            0.024111,             0.01228,          0.00060282,             0.99792,             0.99548,             0.99496,             0.90899,            0.022495,           0.0083732,           0.0003137,            0.002146,            0.002146,            0.002146
                 121,             0.02399,            0.011593,          0.00066622,             0.99692,             0.99685,             0.99493,             0.90933,            0.022339,            0.008276,          0.00031449,             0.00208,             0.00208,             0.00208
                 122,            0.023176,            0.011693,          0.00048086,             0.99782,             0.99799,             0.99499,             0.90797,            0.022417,           0.0083225,           0.0003233,            0.002014,            0.002014,            0.002014
                 123,            0.023343,            0.011278,          0.00056704,             0.99745,             0.99698,             0.99497,             0.91024,             0.02234,           0.0082048,           0.0003074,            0.001948,            0.001948,            0.001948
                 124,            0.023093,            0.011274,          0.00045327,             0.99788,             0.99748,             0.99499,             0.91016,            0.022311,           0.0081924,           0.0003135,            0.001882,            0.001882,            0.001882
                 125,            0.023375,            0.011337,          0.00052379,             0.99736,             0.99749,             0.99498,             0.91009,            0.022312,           0.0082866,          0.00030473,            0.001816,            0.001816,            0.001816
                 126,            0.023278,            0.011374,          0.00049968,             0.99946,             0.99747,             0.99499,             0.91024,            0.022295,           0.0081496,          0.00029615,             0.00175,             0.00175,             0.00175
                 127,             0.02291,            0.011539,          0.00051614,              0.9985,               0.997,             0.99499,             0.91068,            0.022201,           0.0081714,          0.00029614,            0.001684,            0.001684,            0.001684
                 128,            0.023283,              0.0116,          0.00053636,             0.99475,             0.99398,             0.99488,             0.91158,            0.022208,           0.0081881,          0.00040812,            0.001618,            0.001618,            0.001618
                 129,            0.023838,            0.011578,          0.00053535,             0.99749,             0.99897,             0.99499,             0.91149,              0.0222,           0.0081097,          0.00030203,            0.001552,            0.001552,            0.001552
                 130,            0.023331,            0.010909,          0.00048355,             0.99906,             0.99699,             0.99499,             0.91293,            0.022102,           0.0081472,          0.00028408,            0.001486,            0.001486,            0.001486
                 131,            0.022893,            0.011708,          0.00057842,              0.9975,             0.99863,             0.99497,             0.91263,            0.022085,           0.0081596,          0.00028942,             0.00142,             0.00142,             0.00142
                 132,            0.021807,            0.010849,          0.00050264,             0.99869,             0.99699,             0.99499,             0.91226,            0.022091,           0.0081672,          0.00028307,            0.001354,            0.001354,            0.001354
                 133,            0.022954,            0.011116,          0.00048655,             0.99722,             0.99747,             0.99499,             0.91405,            0.021965,           0.0081597,          0.00027776,            0.001288,            0.001288,            0.001288
                 134,            0.022676,            0.011516,          0.00042718,             0.99798,             0.99714,             0.99498,             0.91389,            0.021996,           0.0080809,          0.00027676,            0.001222,            0.001222,            0.001222
                 135,            0.022675,            0.011356,          0.00047357,             0.99777,             0.99799,             0.99499,             0.91404,            0.021972,           0.0080258,            0.000275,            0.001156,            0.001156,            0.001156
                 136,            0.023588,            0.011624,          0.00052127,             0.99949,             0.99534,               0.995,             0.91403,            0.022072,           0.0081502,          0.00027918,             0.00109,             0.00109,             0.00109
                 137,            0.022545,            0.011606,          0.00049998,             0.99749,              0.9983,             0.99497,             0.91589,            0.021836,           0.0079985,          0.00027211,            0.001024,            0.001024,            0.001024
                 138,            0.023083,              0.0111,          0.00049318,             0.99785,             0.99748,             0.99499,              0.9152,            0.022023,           0.0080406,          0.00027195,            0.000958,            0.000958,            0.000958
                 139,            0.022242,            0.010856,          0.00049026,             0.99792,             0.99799,             0.99499,             0.91679,            0.021988,           0.0081047,          0.00026877,            0.000892,            0.000892,            0.000892
                 140,            0.023535,             0.01131,          0.00047336,             0.99925,             0.99795,             0.99499,              0.9162,            0.021953,           0.0080323,          0.00027355,            0.000826,            0.000826,            0.000826
                 141,             0.02236,            0.011043,          0.00048806,               0.999,             0.99739,             0.99499,             0.91561,            0.021809,           0.0080096,          0.00026291,             0.00076,             0.00076,             0.00076
                 142,            0.022331,            0.010908,          0.00041454,             0.99949,             0.99843,             0.99499,             0.91477,            0.021761,            0.007998,          0.00026223,            0.000694,            0.000694,            0.000694
                 143,             0.02213,            0.010905,          0.00043612,             0.99793,             0.99782,             0.99496,             0.91905,            0.021802,           0.0080424,          0.00026086,            0.000628,            0.000628,            0.000628
                 144,            0.022738,            0.011291,          0.00052537,             0.99886,             0.99731,             0.99499,              0.9182,            0.021825,           0.0080164,          0.00026028,            0.000562,            0.000562,            0.000562
                 145,            0.022441,            0.010994,          0.00047058,              0.9995,             0.99825,             0.99499,             0.91751,            0.021729,           0.0079622,          0.00026356,            0.000496,            0.000496,            0.000496
                 146,            0.022851,            0.011355,          0.00043061,             0.99932,             0.99799,             0.99499,             0.91879,            0.021725,           0.0079679,          0.00026385,             0.00043,             0.00043,             0.00043
                 147,            0.022266,            0.011087,          0.00046727,             0.99942,             0.99796,             0.99499,             0.91874,            0.021736,           0.0079708,          0.00026366,            0.000364,            0.000364,            0.000364
                 148,            0.022525,            0.010902,          0.00040201,             0.99845,             0.99799,               0.995,             0.91848,            0.021757,            0.007976,          0.00025817,            0.000298,            0.000298,            0.000298
                 149,             0.02217,             0.01119,          0.00051038,             0.99791,             0.99749,             0.99496,             0.91733,            0.021692,           0.0079499,          0.00025648,            0.000232,            0.000232,            0.000232
